,predictor,AIC
191,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc'],311131.86753104377
192,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc'],311014.33255744906
193,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'coverp'],311078.94740341033
194,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'powerc'],311024.55141070136
195,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc'],311137.3459781217
196,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'coverp'],311188.30720348575
197,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'powerc'],311135.4612152418
198,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'coverp'],310992.8555339274
199,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'powerc'],311070.24089371914
200,['ageph' 'lat' 'long' 'usec' 'sexp' 'coverp' 'powerc'],311143.54622359347
201,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc'],311221.2128183943
202,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc'],311118.9743153695
203,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'coverp'],311123.39835724933
204,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'powerc'],311100.04864177643
205,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc'],311244.81022984535
206,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'coverp'],311237.6636989866
207,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'powerc'],311212.8761595474
208,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'coverp'],311061.070826611
209,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'powerc'],311157.9037026852
210,['ageph' 'lat' 'long' 'usec' 'fuelc' 'coverp' 'powerc'],311187.1768743898
211,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc'],311094.87735768716
212,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'coverp'],311110.35513214517
213,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'powerc'],311077.24280198704
214,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'coverp'],310914.3230712342
215,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'powerc'],311017.8412472263
216,['ageph' 'lat' 'long' 'usec' 'split' 'coverp' 'powerc'],311059.04788683535
217,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'coverp'],311042.2713195779
218,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'powerc'],311136.7652949048
219,['ageph' 'lat' 'long' 'usec' 'fleetc' 'coverp' 'powerc'],311169.23527338833
220,['ageph' 'lat' 'long' 'usec' 'sportc' 'coverp' 'powerc'],311029.573883856
221,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc'],311171.4277069701
222,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc'],311063.3775276708
223,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'coverp'],311121.6477356051
224,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'powerc'],311066.3639162775
225,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc'],311187.97897225956
226,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'coverp'],311231.8575783025
227,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'powerc'],311180.863686575
228,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'coverp'],311053.0610972477
229,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'powerc'],311121.7411964097
230,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'coverp' 'powerc'],311196.78348682745
231,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc'],311030.44997780776
232,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'coverp'],311099.31763362995
233,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'powerc'],311037.27323317155
234,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'coverp'],310896.9320507952
235,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'powerc'],310971.4111073427
236,['ageph' 'lat' 'long' 'sexp' 'split' 'coverp' 'powerc'],311059.9387847875
237,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'coverp'],311020.0877280883
238,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'powerc'],311090.4428572195
239,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'coverp' 'powerc'],311167.4758903614
240,['ageph' 'lat' 'long' 'sexp' 'sportc' 'coverp' 'powerc'],311025.2035492784
241,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc'],311141.3067167831
242,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'coverp'],311148.93994172855
243,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'powerc'],311116.9285861205
244,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'coverp'],310965.9686392831
245,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'powerc'],311061.33187782945
246,['ageph' 'lat' 'long' 'fuelc' 'split' 'coverp' 'powerc'],311103.27027896105
247,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'coverp'],311093.30749899504
248,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'powerc'],311182.0632489987
249,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'coverp' 'powerc'],311215.1619709421
250,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'coverp' 'powerc'],311088.3224796562
251,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'coverp'],310941.78775267274
252,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'powerc'],311035.6569267751
253,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp' 'powerc'],311081.7697067371
254,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp' 'powerc'],310936.2990171084
255,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp' 'powerc'],311060.5247757195
256,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split'],311081.7005464378
257,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc'],311227.111272598
258,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'sportc'],311115.9117998461
259,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'coverp'],311142.8086939252
260,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'powerc'],311126.2951773217
261,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc'],311069.3714851179
262,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'sportc'],310947.68267845333
263,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'coverp'],311004.6445161869
264,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'powerc'],310968.5647834521
265,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'sportc'],311094.4742295166
266,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'coverp'],311128.12735571084
267,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'powerc'],311103.5742071377
268,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'coverp'],310947.55896645394
269,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'powerc'],311030.3545853747
270,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'coverp' 'powerc'],311084.58828767244
271,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc'],311137.50255097233
272,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'sportc'],311033.25367128605
