,predictor,AIC
157,['ageph' 'lat' 'long' 'fuelc' 'sportc' 'coverp' 'powerc'],38859.5110151914
158,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'coverp'],38764.83286458847
159,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'powerc'],38787.99572210603
160,['ageph' 'lat' 'long' 'split' 'fleetc' 'coverp' 'powerc'],38760.90302936307
161,['ageph' 'lat' 'long' 'split' 'sportc' 'coverp' 'powerc'],38760.123123672885
162,['ageph' 'lat' 'long' 'fleetc' 'sportc' 'coverp' 'powerc'],38878.42172084715
163,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc'],38760.28693602509
164,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc'],38761.34082990663
165,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp'],38736.001667769706
166,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'powerc'],38754.12205237173
167,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc'],38872.9502117478
168,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'coverp'],38853.80098555807
169,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'powerc'],38865.130675987406
170,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'coverp'],38855.437574441494
171,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'powerc'],38867.21872029271
172,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp' 'powerc'],38845.68955459157
173,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc'],38778.761105544036
174,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'coverp'],38755.66001734038
175,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'powerc'],38775.44534778071
176,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'coverp'],38755.88055376847
177,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'powerc'],38775.57448565062
178,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'coverp' 'powerc'],38751.031783398765
179,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'coverp'],38873.570053548545
180,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'powerc'],38886.91014342498
181,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'coverp' 'powerc'],38868.52032465399
182,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'coverp' 'powerc'],38869.09029987276
183,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc'],38765.47503843062
184,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'coverp'],38740.985192089945
185,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'powerc'],38760.205791423265
186,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'coverp'],38741.284808252545
187,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'powerc'],38760.53551976083
188,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'coverp' 'powerc'],38734.05358342084
189,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'coverp'],38859.4352445252
190,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'powerc'],38872.032183951225
191,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'coverp' 'powerc'],38852.080877515444
192,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'coverp' 'powerc'],38852.8066785788
193,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'coverp'],38758.686092627504
194,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'powerc'],38778.67976164356
195,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'coverp' 'powerc'],38755.11655835637
