,predictor,BIC
152,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc'],311436.11640240933
153,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc'],311336.02285180247
154,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp'],311375.4623136107
155,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'powerc'],311344.8349337787
156,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc'],311280.47017130663
157,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc'],311167.93700112303
158,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'coverp'],311235.97988014267
159,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'powerc'],311188.9790584629
160,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc'],311300.4028269336
161,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'coverp'],311344.94491490826
162,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'powerc'],311312.1307467814
163,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'coverp'],311179.15943460277
164,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'powerc'],311249.9718948414
165,['ageph' 'lat' 'long' 'agecar' 'sexp' 'coverp' 'powerc'],311316.8728002412
166,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc'],311355.54454432183
167,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc'],311260.0654554909
168,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'coverp'],311282.9353094227
169,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'powerc'],311256.3138561247
170,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc'],311397.08012691984
171,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'coverp'],311397.0791934485
172,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'powerc'],311383.01978027483
173,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'coverp'],311248.1033210341
174,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'powerc'],311331.19961522444
175,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'coverp' 'powerc'],311363.28382661816
176,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc'],311230.0804639771
177,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'coverp'],311260.498150747
178,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'powerc'],311228.70400807477
179,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'coverp'],311093.88946288865
180,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'powerc'],311170.24965715734
181,['ageph' 'lat' 'long' 'agecar' 'split' 'coverp' 'powerc'],311224.0759041826
182,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'coverp'],311216.089163561
183,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'powerc'],311299.5904953088
184,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'coverp' 'powerc'],311334.41465573874
185,['ageph' 'lat' 'long' 'agecar' 'sportc' 'coverp' 'powerc'],311220.49375035556
186,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split'],311335.5789761928
187,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc'],311438.0576880971
188,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'sportc'],311329.8684688724
189,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'coverp'],311378.960089481
190,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'powerc'],311334.492359532
191,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc'],311312.90544985986
192,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc'],311195.5283097276
193,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'coverp'],311267.8749289067
194,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'powerc'],311213.56337949017
195,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc'],311302.97943976853
196,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'coverp'],311361.57740180555
197,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'powerc'],311308.8892110391
198,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'coverp'],311166.2945177627
199,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'powerc'],311244.05361429806
200,['ageph' 'lat' 'long' 'usec' 'sexp' 'coverp' 'powerc'],311324.7834842907
201,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc'],311402.14228011866
202,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc'],311300.0410569353
203,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'coverp'],311312.2293175933
204,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'powerc'],311288.95371609525
205,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc'],311410.32493243244
206,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'coverp'],311410.84756564896
207,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'powerc'],311386.21556262573
208,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'coverp'],311234.39551001665
209,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'powerc'],311331.62933171005
210,['ageph' 'lat' 'long' 'usec' 'fuelc' 'coverp' 'powerc'],311368.3052606179
211,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc'],311275.84092585393
212,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'coverp'],311299.0512549028
213,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'powerc'],311265.98780690157
214,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'coverp'],311103.18699542765
215,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'powerc'],311206.9840340257
216,['ageph' 'lat' 'long' 'usec' 'split' 'coverp' 'powerc'],311255.678391731
217,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'coverp'],311215.4642546887
218,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'powerc'],311310.31736267434
219,['ageph' 'lat' 'long' 'usec' 'fleetc' 'coverp' 'powerc'],311350.1873953556
220,['ageph' 'lat' 'long' 'usec' 'sportc' 'coverp' 'powerc'],311210.93122970586
221,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc'],311352.64298396476
222,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc'],311244.6042645624
223,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'coverp'],311310.6339331101
224,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'powerc'],311255.45653533743
225,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc'],311353.7934450591
226,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'coverp'],311405.328933918
227,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'powerc'],311354.5155375081
228,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'coverp'],311226.5512987412
229,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'powerc'],311295.6363486925
230,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'coverp' 'powerc'],311378.11079070787
231,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc'],311211.6653020359
232,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'coverp'],311288.2675763045
233,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'powerc'],311226.27577238687
234,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'coverp'],311085.91960222245
235,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'powerc'],311160.6595999702
236,['ageph' 'lat' 'long' 'sexp' 'split' 'coverp' 'powerc'],311256.7157895744
237,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'coverp'],311193.53905696055
238,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'powerc'],311264.2316145296
